Size, Type, Time
20000, "Sequential", 0.003455
20000, "Parallel", 0.004640
20000, "Built-in", 0.004171
40000, "Sequential", 0.007949
40000, "Parallel", 0.012904
40000, "Built-in", 0.006840
60000, "Sequential", 0.010816
60000, "Parallel", 0.015692
60000, "Built-in", 0.013148
80000, "Sequential", 0.016186
80000, "Parallel", 0.029052
80000, "Built-in", 0.015436
100000, "Sequential", 0.025202
100000, "Parallel", 0.032935
100000, "Built-in", 0.018634
120000, "Sequential", 0.039588
120000, "Parallel", 0.024873
120000, "Built-in", 0.021959
140000, "Sequential", 0.036030
140000, "Parallel", 0.024287
140000, "Built-in", 0.029675
160000, "Sequential", 0.040159
160000, "Parallel", 0.028818
160000, "Built-in", 0.030805
180000, "Sequential", 0.043400
180000, "Parallel", 0.037042
180000, "Built-in", 0.035193
200000, "Sequential", 0.048143
200000, "Parallel", 0.038434
200000, "Built-in", 0.041254
220000, "Sequential", 0.054776
220000, "Parallel", 0.041969
220000, "Built-in", 0.043290
240000, "Sequential", 0.060522
240000, "Parallel", 0.045076
240000, "Built-in", 0.050842
260000, "Sequential", 0.062030
260000, "Parallel", 0.057404
260000, "Built-in", 0.052808
280000, "Sequential", 0.070061
280000, "Parallel", 0.043799
280000, "Built-in", 0.055808
300000, "Sequential", 0.067617
300000, "Parallel", 0.058320
300000, "Built-in", 0.059575
320000, "Sequential", 0.072654
320000, "Parallel", 0.057128
320000, "Built-in", 0.066552
340000, "Sequential", 0.077311
340000, "Parallel", 0.065445
340000, "Built-in", 0.068807
360000, "Sequential", 0.089031
360000, "Parallel", 0.063564
360000, "Built-in", 0.080315
380000, "Sequential", 0.092505
380000, "Parallel", 0.073700
380000, "Built-in", 0.078202
400000, "Sequential", 0.090103
400000, "Parallel", 0.068032
400000, "Built-in", 0.082020
20000, "Sequential", 0.003370
20000, "Parallel", 0.003719
20000, "Built-in", 0.005447
40000, "Sequential", 0.008808
40000, "Parallel", 0.008845
40000, "Built-in", 0.008562
60000, "Sequential", 0.011091
60000, "Parallel", 0.009928
60000, "Built-in", 0.011288
80000, "Sequential", 0.016875
80000, "Parallel", 0.019956
80000, "Built-in", 0.018023
100000, "Sequential", 0.021033
100000, "Parallel", 0.017335
100000, "Built-in", 0.021754
120000, "Sequential", 0.029756
120000, "Parallel", 0.024942
120000, "Built-in", 0.023549
140000, "Sequential", 0.032575
140000, "Parallel", 0.024648
140000, "Built-in", 0.027022
160000, "Sequential", 0.037053
160000, "Parallel", 0.032430
160000, "Built-in", 0.032564
180000, "Sequential", 0.046387
180000, "Parallel", 0.033468
180000, "Built-in", 0.034213
200000, "Sequential", 0.060258
200000, "Parallel", 0.038366
200000, "Built-in", 0.038327
220000, "Sequential", 0.058186
220000, "Parallel", 0.045270
220000, "Built-in", 0.044402
240000, "Sequential", 0.056598
240000, "Parallel", 0.056225
240000, "Built-in", 0.055628
260000, "Sequential", 0.064371
260000, "Parallel", 0.040911
260000, "Built-in", 0.052965
280000, "Sequential", 0.068573
280000, "Parallel", 0.050915
280000, "Built-in", 0.057836
300000, "Sequential", 0.068549
300000, "Parallel", 0.050049
300000, "Built-in", 0.060457
320000, "Sequential", 0.073731
320000, "Parallel", 0.060817
320000, "Built-in", 0.063757
340000, "Sequential", 0.077155
340000, "Parallel", 0.065048
