Size, Type, Time
200000, "Sequential", 0.047251
200000, "Parallel", 0.065412
200000, "Built-in", 0.038083
225000, "Sequential", 0.055572
225000, "Parallel", 0.060691
225000, "Built-in", 0.060489
250000, "Sequential", 0.061706
250000, "Parallel", 0.052123
250000, "Built-in", 0.049541
275000, "Sequential", 0.066787
275000, "Parallel", 0.075508
275000, "Built-in", 0.056793
300000, "Sequential", 0.076906
300000, "Parallel", 0.382953
300000, "Built-in", 0.084244
325000, "Sequential", 0.081546
325000, "Parallel", 0.066901
325000, "Built-in", 0.064290
350000, "Sequential", 0.086611
350000, "Parallel", 0.084842
350000, "Built-in", 0.071514
375000, "Sequential", 0.095474
375000, "Parallel", 0.081497
375000, "Built-in", 0.078162
400000, "Sequential", 0.099929
400000, "Parallel", 0.089634
400000, "Built-in", 0.086627
425000, "Sequential", 0.106888
425000, "Parallel", 0.115301
425000, "Built-in", 0.097309
450000, "Sequential", 0.101388
450000, "Parallel", 0.111862
450000, "Built-in", 0.094038
475000, "Sequential", 0.109129
475000, "Parallel", 0.091011
475000, "Built-in", 0.098790
500000, "Sequential", 0.110718
500000, "Parallel", 0.132551
500000, "Built-in", 0.105980
525000, "Sequential", 0.115657
525000, "Parallel", 0.123130
525000, "Built-in", 0.109560
550000, "Sequential", 0.131107
550000, "Parallel", 0.187568
550000, "Built-in", 0.115969
575000, "Sequential", 0.148524
575000, "Parallel", 0.115457
575000, "Built-in", 0.138977
600000, "Sequential", 0.139866
600000, "Parallel", 0.118640
600000, "Built-in", 0.125474
625000, "Sequential", 0.147322
625000, "Parallel", 0.133988
625000, "Built-in", 0.131624
650000, "Sequential", 0.158698
650000, "Parallel", 0.117775
650000, "Built-in", 0.166549
675000, "Sequential", 0.169165
675000, "Parallel", 0.465979
675000, "Built-in", 0.152246
700000, "Sequential", 0.164961
700000, "Parallel", 0.155718
700000, "Built-in", 0.155534
200000, "Sequential", 0.045275
200000, "Parallel", 0.051260
200000, "Built-in", 0.040231
225000, "Sequential", 0.052110
225000, "Parallel", 0.398641
225000, "Built-in", 0.044456
250000, "Sequential", 0.063244
250000, "Parallel", 0.083468
250000, "Built-in", 0.049582
275000, "Sequential", 0.064837
275000, "Parallel", 0.088014
275000, "Built-in", 0.055296
300000, "Sequential", 0.076855
300000, "Parallel", 0.082188
300000, "Built-in", 0.060472
325000, "Sequential", 0.077819
325000, "Parallel", 0.860328
325000, "Built-in", 0.065357
350000, "Sequential", 0.088610
350000, "Parallel", 0.087009
350000, "Built-in", 0.070720
375000, "Sequential", 0.089790
375000, "Parallel", 0.083579
375000, "Built-in", 0.112444
400000, "Sequential", 0.096324
400000, "Parallel", 0.104431
400000, "Built-in", 0.082677
425000, "Sequential", 0.101768
425000, "Parallel", 0.098643
425000, "Built-in", 0.102801
450000, "Sequential", 0.107884
450000, "Parallel", 0.099448
450000, "Built-in", 0.097644
475000, "Sequential", 0.109589
475000, "Parallel", 0.129164
475000, "Built-in", 0.100722
500000, "Sequential", 0.123803
500000, "Parallel", 0.101759
500000, "Built-in", 0.104616
525000, "Sequential", 0.135985
525000, "Parallel", 0.132741
525000, "Built-in", 0.108826
550000, "Sequential", 0.124761
550000, "Parallel", 0.111303
550000, "Built-in", 0.116904
575000, "Sequential", 0.138264
575000, "Parallel", 0.121653
575000, "Built-in", 0.135018
600000, "Sequential", 0.139270
600000, "Parallel", 0.132605
600000, "Built-in", 0.125137
625000, "Sequential", 0.147227
625000, "Parallel", 0.151314
625000, "Built-in", 0.136158
650000, "Sequential", 0.148020
650000, "Parallel", 0.135945
650000, "Built-in", 0.139163
675000, "Sequential", 0.161252
675000, "Parallel", 0.129266
675000, "Built-in", 0.143150
700000, "Sequential", 0.162648
700000, "Parallel", 0.159840
700000, "Built-in", 0.153201
200000, "Sequential", 0.045781
200000, "Parallel", 0.060390
200000, "Built-in", 0.038194
225000, "Sequential", 0.054666
225000, "Parallel", 0.070411
225000, "Built-in", 0.044269
250000, "Sequential", 0.059838
250000, "Parallel", 0.069544
250000, "Built-in", 0.049980
275000, "Sequential", 0.066802
275000, "Parallel", 0.078301
275000, "Built-in", 0.055213
300000, "Sequential", 0.070473
300000, "Parallel", 0.495603
300000, "Built-in", 0.066502
325000, "Sequential", 0.071928
325000, "Parallel", 0.088764
325000, "Built-in", 0.065754
350000, "Sequential", 0.081932
350000, "Parallel", 0.076160
350000, "Built-in", 0.070532
375000, "Sequential", 0.085906
375000, "Parallel", 0.091832
375000, "Built-in", 0.076550
400000, "Sequential", 0.091442
400000, "Parallel", 0.077420
400000, "Built-in", 0.082940
425000, "Sequential", 0.095586
425000, "Parallel", 0.123238
425000, "Built-in", 0.086839
450000, "Sequential", 0.110602
450000, "Parallel", 0.111252
450000, "Built-in", 0.097355
475000, "Sequential", 0.118661
475000, "Parallel", 0.115841
475000, "Built-in", 0.102687
500000, "Sequential", 0.113565
500000, "Parallel", 0.150361
500000, "Built-in", 0.107100
525000, "Sequential", 0.140558
525000, "Parallel", 0.111295
525000, "Built-in", 0.109382
550000, "Sequential", 0.143250
550000, "Parallel", 0.116231
550000, "Built-in", 0.135786
575000, "Sequential", 0.137764
575000, "Parallel", 0.134316
575000, "Built-in", 0.120054
600000, "Sequential", 0.134053
600000, "Parallel", 0.136283
600000, "Built-in", 0.130616
625000, "Sequential", 0.149994
625000, "Parallel", 0.235170
625000, "Built-in", 0.140883
650000, "Sequential", 0.150162
650000, "Parallel", 0.137575
650000, "Built-in", 0.139085
675000, "Sequential", 0.159167
675000, "Parallel", 0.130739
675000, "Built-in", 0.145256
700000, "Sequential", 0.165109
700000, "Parallel", 0.162517
700000, "Built-in", 0.160557
200000, "Sequential", 0.044566
200000, "Parallel", 0.046945
200000, "Built-in", 0.041472
225000, "Sequential", 0.049457
