Size, Type, Time
100000, "Sequential", 0.027534
100000, "Parallel", 0.031013
100000, "Built-in", 0.018272
150000, "Sequential", 0.033265
150000, "Parallel", 0.040315
150000, "Built-in", 0.027463
200000, "Sequential", 0.046629
200000, "Parallel", 0.042881
200000, "Built-in", 0.038158
250000, "Sequential", 0.056324
250000, "Parallel", 0.045399
250000, "Built-in", 0.048286
300000, "Sequential", 0.068064
300000, "Parallel", 0.066818
300000, "Built-in", 0.073753
350000, "Sequential", 0.080711
350000, "Parallel", 0.060001
350000, "Built-in", 0.069496
400000, "Sequential", 0.091475
400000, "Parallel", 0.087490
400000, "Built-in", 0.080448
450000, "Sequential", 0.103783
450000, "Parallel", 0.093306
450000, "Built-in", 0.091345
500000, "Sequential", 0.114824
500000, "Parallel", 0.109978
500000, "Built-in", 0.104915
550000, "Sequential", 0.124566
550000, "Parallel", 0.099825
550000, "Built-in", 0.114006
600000, "Sequential", 0.140734
600000, "Parallel", 0.098189
600000, "Built-in", 0.123790
100000, "Sequential", 0.022122
100000, "Parallel", 0.033297
100000, "Built-in", 0.017868
150000, "Sequential", 0.045559
150000, "Parallel", 0.026825
150000, "Built-in", 0.028305
200000, "Sequential", 0.047113
200000, "Parallel", 0.050943
200000, "Built-in", 0.038809
250000, "Sequential", 0.058689
250000, "Parallel", 0.063413
250000, "Built-in", 0.049810
300000, "Sequential", 0.073884
300000, "Parallel", 0.062208
300000, "Built-in", 0.058942
350000, "Sequential", 0.080960
350000, "Parallel", 0.055720
350000, "Built-in", 0.069981
400000, "Sequential", 0.091137
400000, "Parallel", 0.077102
400000, "Built-in", 0.080329
450000, "Sequential", 0.101458
450000, "Parallel", 0.105331
450000, "Built-in", 0.090887
500000, "Sequential", 0.113916
500000, "Parallel", 0.111445
500000, "Built-in", 0.102706
550000, "Sequential", 0.128835
550000, "Parallel", 0.118323
550000, "Built-in", 0.121468
600000, "Sequential", 0.153259
600000, "Parallel", 0.115015
600000, "Built-in", 0.123793
100000, "Sequential", 0.019736
100000, "Parallel", 0.039365
100000, "Built-in", 0.018175
150000, "Sequential", 0.035329
150000, "Parallel", 0.038713
150000, "Built-in", 0.027384
200000, "Sequential", 0.046222
200000, "Parallel", 0.052555
200000, "Built-in", 0.037214
250000, "Sequential", 0.057589
250000, "Parallel", 0.044571
250000, "Built-in", 0.048034
300000, "Sequential", 0.070249
300000, "Parallel", 0.063437
300000, "Built-in", 0.059600
350000, "Sequential", 0.077628
350000, "Parallel", 0.072498
350000, "Built-in", 0.070098
400000, "Sequential", 0.096017
400000, "Parallel", 0.079631
400000, "Built-in", 0.079961
450000, "Sequential", 0.101949
450000, "Parallel", 0.125788
450000, "Built-in", 0.102301
500000, "Sequential", 0.115472
500000, "Parallel", 0.098080
500000, "Built-in", 0.101792
