Size, Type, Time
100000, "Sequential", 0.025035
100000, "Parallel", 0.049757
100000, "Built-in", 0.017096
150000, "Sequential", 0.035106
150000, "Parallel", 0.056372
150000, "Built-in", 0.027936
200000, "Sequential", 0.045198
200000, "Parallel", 0.061422
200000, "Built-in", 0.037543
250000, "Sequential", 0.057481
250000, "Parallel", 0.055997
250000, "Built-in", 0.048141
300000, "Sequential", 0.070754
300000, "Parallel", 0.068560
300000, "Built-in", 0.058767
350000, "Sequential", 0.078568
350000, "Parallel", 0.069003
350000, "Built-in", 0.069408
400000, "Sequential", 0.100630
400000, "Parallel", 0.121328
400000, "Built-in", 0.080394
450000, "Sequential", 0.104341
450000, "Parallel", 0.110202
450000, "Built-in", 0.091446
500000, "Sequential", 0.119284
500000, "Parallel", 0.110021
500000, "Built-in", 0.101544
550000, "Sequential", 0.144529
550000, "Parallel", 0.116599
550000, "Built-in", 0.113362
600000, "Sequential", 0.143863
600000, "Parallel", 0.143059
600000, "Built-in", 0.124407
650000, "Sequential", 0.153875
650000, "Parallel", 0.152566
650000, "Built-in", 0.134707
700000, "Sequential", 0.163810
700000, "Parallel", 0.207979
700000, "Built-in", 0.147668
750000, "Sequential", 0.187130
750000, "Parallel", 0.151122
750000, "Built-in", 0.160691
800000, "Sequential", 0.184302
800000, "Parallel", 0.213463
800000, "Built-in", 0.175714
850000, "Sequential", 0.202403
850000, "Parallel", 0.173244
850000, "Built-in", 0.184290
900000, "Sequential", 0.210620
900000, "Parallel", 0.207204
900000, "Built-in", 0.198212
950000, "Sequential", 0.223774
950000, "Parallel", 0.271751
950000, "Built-in", 0.205703
1000000, "Sequential", 0.249498
1000000, "Parallel", 0.218243
1000000, "Built-in", 0.217412
1050000, "Sequential", 0.247204
1050000, "Parallel", 0.216448
1050000, "Built-in", 0.225881
1100000, "Sequential", 0.261834
1100000, "Parallel", 0.278808
1100000, "Built-in", 0.249020
1150000, "Sequential", 0.271067
1150000, "Parallel", 0.309179
1150000, "Built-in", 0.251145
1200000, "Sequential", 0.291857
1200000, "Parallel", 0.264690
1200000, "Built-in", 0.261561
1250000, "Sequential", 0.290854
1250000, "Parallel", 0.282827
1250000, "Built-in", 0.278805
1300000, "Sequential", 0.307278
1300000, "Parallel", 0.341075
1300000, "Built-in", 0.289995
1350000, "Sequential", 0.323479
1350000, "Parallel", 0.432006
1350000, "Built-in", 0.305210
1400000, "Sequential", 0.337666
1400000, "Parallel", 0.396698
1400000, "Built-in", 0.311262
1450000, "Sequential", 0.354183
1450000, "Parallel", 0.451647
1450000, "Built-in", 0.322295
1500000, "Sequential", 0.361025
1500000, "Parallel", 0.347224
1500000, "Built-in", 0.340814
100000, "Sequential", 0.021712
100000, "Parallel", 0.056271
100000, "Built-in", 0.017741
150000, "Sequential", 0.034013
150000, "Parallel", 0.052532
150000, "Built-in", 0.028191
200000, "Sequential", 0.044249
200000, "Parallel", 0.055155
200000, "Built-in", 0.043829
250000, "Sequential", 0.061810
250000, "Parallel", 0.064211
250000, "Built-in", 0.049344
300000, "Sequential", 0.068502
300000, "Parallel", 0.067210
