Size, Type, Time
400000, "Sequential", 0.086386
400000, "Parallel", 0.257143
400000, "Built-in", 0.081555
425000, "Sequential", 0.098345
425000, "Parallel", 0.142817
425000, "Built-in", 0.089501
450000, "Sequential", 0.116989
450000, "Parallel", 0.166272
450000, "Built-in", 0.101757
475000, "Sequential", 0.118023
475000, "Parallel", 0.155155
475000, "Built-in", 0.098464
500000, "Sequential", 0.117771
500000, "Parallel", 0.115535
500000, "Built-in", 0.105456
525000, "Sequential", 0.119199
525000, "Parallel", 0.114952
525000, "Built-in", 0.110073
550000, "Sequential", 0.127409
550000, "Parallel", 0.148652
550000, "Built-in", 0.128967
575000, "Sequential", 0.140329
575000, "Parallel", 0.125651
575000, "Built-in", 0.121999
600000, "Sequential", 0.142265
600000, "Parallel", 0.176887
600000, "Built-in", 0.140346
625000, "Sequential", 0.151637
625000, "Parallel", 0.131826
625000, "Built-in", 0.132033
650000, "Sequential", 0.157637
650000, "Parallel", 0.150612
650000, "Built-in", 0.139777
675000, "Sequential", 0.158999
675000, "Parallel", 0.172269
675000, "Built-in", 0.145818
700000, "Sequential", 0.175166
700000, "Parallel", 0.160647
700000, "Built-in", 0.155219
725000, "Sequential", 0.173015
725000, "Parallel", 0.155767
725000, "Built-in", 0.163391
750000, "Sequential", 0.169359
750000, "Parallel", 0.185938
750000, "Built-in", 0.160347
775000, "Sequential", 0.201021
775000, "Parallel", 0.158703
775000, "Built-in", 0.165408
800000, "Sequential", 0.186024
800000, "Parallel", 0.198852
800000, "Built-in", 0.172081
825000, "Sequential", 0.208825
825000, "Parallel", 0.173944
825000, "Built-in", 0.174466
850000, "Sequential", 0.204702
850000, "Parallel", 0.176395
850000, "Built-in", 0.183386
875000, "Sequential", 0.205639
875000, "Parallel", 0.232032
875000, "Built-in", 0.188248
900000, "Sequential", 0.221607
900000, "Parallel", 0.158172
900000, "Built-in", 0.196196
925000, "Sequential", 0.229858
925000, "Parallel", 0.236235
925000, "Built-in", 0.227295
950000, "Sequential", 0.223752
950000, "Parallel", 0.316086
950000, "Built-in", 0.211203
