Size, Type, Time
10000, "Sequential", 0.001544
10000, "Parallel", 0.003861
10000, "Built-in", 0.004465
20000, "Sequential", 0.003631
20000, "Parallel", 0.004999
20000, "Built-in", 0.006256
30000, "Sequential", 0.005389
30000, "Parallel", 0.006476
30000, "Built-in", 0.004946
40000, "Sequential", 0.009684
40000, "Parallel", 0.009213
40000, "Built-in", 0.007607
50000, "Sequential", 0.012959
50000, "Parallel", 0.009373
50000, "Built-in", 0.008624
60000, "Sequential", 0.013573
60000, "Parallel", 0.016742
60000, "Built-in", 0.010433
70000, "Sequential", 0.018723
70000, "Parallel", 0.016166
70000, "Built-in", 0.015623
80000, "Sequential", 0.015756
80000, "Parallel", 0.026778
80000, "Built-in", 0.014266
90000, "Sequential", 0.021119
90000, "Parallel", 0.017438
90000, "Built-in", 0.018298
100000, "Sequential", 0.021955
100000, "Parallel", 0.019978
100000, "Built-in", 0.018114
110000, "Sequential", 0.024385
110000, "Parallel", 0.024209
110000, "Built-in", 0.019951
120000, "Sequential", 0.031895
120000, "Parallel", 0.024705
120000, "Built-in", 0.024355
130000, "Sequential", 0.030708
130000, "Parallel", 0.023084
130000, "Built-in", 0.025289
140000, "Sequential", 0.031517
140000, "Parallel", 0.030207
140000, "Built-in", 0.026392
150000, "Sequential", 0.034446
150000, "Parallel", 0.027098
150000, "Built-in", 0.028229
160000, "Sequential", 0.047865
160000, "Parallel", 0.034844
160000, "Built-in", 0.030093
170000, "Sequential", 0.038023
170000, "Parallel", 0.030270
170000, "Built-in", 0.033440
180000, "Sequential", 0.042909
180000, "Parallel", 0.031055
180000, "Built-in", 0.034581
190000, "Sequential", 0.039011
190000, "Parallel", 0.028968
190000, "Built-in", 0.035961
200000, "Sequential", 0.043844
200000, "Parallel", 0.034155
200000, "Built-in", 0.038412
210000, "Sequential", 0.044472
210000, "Parallel", 0.036960
210000, "Built-in", 0.040376
220000, "Sequential", 0.049302
220000, "Parallel", 0.037900
220000, "Built-in", 0.042644
230000, "Sequential", 0.050494
230000, "Parallel", 0.035481
230000, "Built-in", 0.047013
240000, "Sequential", 0.051403
240000, "Parallel", 0.053332
240000, "Built-in", 0.046698
250000, "Sequential", 0.054330
250000, "Parallel", 0.038557
250000, "Built-in", 0.053079
10000, "Sequential", 0.001454
10000, "Parallel", 0.006759
10000, "Built-in", 0.001517
20000, "Sequential", 0.004099
20000, "Parallel", 0.006408
20000, "Built-in", 0.005818
30000, "Sequential", 0.005773
30000, "Parallel", 0.006103
