Size, Type, Time
675000, "Sequential", 0.159476
675000, "Parallel", 0.201124
675000, "Built-in", 0.140139
700000, "Sequential", 0.172634
700000, "Parallel", 0.169558
700000, "Built-in", 0.146329
725000, "Sequential", 0.166211
725000, "Parallel", 0.156797
725000, "Built-in", 0.152806
750000, "Sequential", 0.182781
750000, "Parallel", 0.188164
750000, "Built-in", 0.161465
775000, "Sequential", 0.176705
775000, "Parallel", 0.184118
775000, "Built-in", 0.169148
800000, "Sequential", 0.194661
800000, "Parallel", 0.164067
800000, "Built-in", 0.172780
825000, "Sequential", 0.187721
825000, "Parallel", 0.216436
825000, "Built-in", 0.180287
850000, "Sequential", 0.191430
850000, "Parallel", 0.209434
850000, "Built-in", 0.184429
875000, "Sequential", 0.207271
875000, "Parallel", 0.263848
875000, "Built-in", 0.193746
900000, "Sequential", 0.203975
900000, "Parallel", 0.218802
900000, "Built-in", 0.201202
925000, "Sequential", 0.221598
925000, "Parallel", 0.251546
925000, "Built-in", 0.198126
950000, "Sequential", 0.220848
950000, "Parallel", 0.200317
950000, "Built-in", 0.204702
975000, "Sequential", 0.228987
975000, "Parallel", 0.255592
975000, "Built-in", 0.211318
1000000, "Sequential", 0.238022
1000000, "Parallel", 0.188961
1000000, "Built-in", 0.217495
1025000, "Sequential", 0.246791
1025000, "Parallel", 0.224826
1025000, "Built-in", 0.224715
1050000, "Sequential", 0.246715
1050000, "Parallel", 0.289083
1050000, "Built-in", 0.225482
1075000, "Sequential", 0.251908
1075000, "Parallel", 0.248665
1075000, "Built-in", 0.249325
1100000, "Sequential", 0.265599
1100000, "Parallel", 0.261841
1100000, "Built-in", 0.243629
1125000, "Sequential", 0.267963
1125000, "Parallel", 0.302141
1125000, "Built-in", 0.245329
1150000, "Sequential", 0.283663
1150000, "Parallel", 0.322255
1150000, "Built-in", 0.250457
1175000, "Sequential", 0.270885
1175000, "Parallel", 0.297255
1175000, "Built-in", 0.256202
1200000, "Sequential", 0.285223
1200000, "Parallel", 0.299936
1200000, "Built-in", 0.261215
1225000, "Sequential", 0.292088
1225000, "Parallel", 0.325251
1225000, "Built-in", 0.272526
1250000, "Sequential", 0.294712
1250000, "Parallel", 0.323081
1250000, "Built-in", 0.282091
1275000, "Sequential", 0.300435
1275000, "Parallel", 0.349713
1275000, "Built-in", 0.279489
1300000, "Sequential", 0.314235
1300000, "Parallel", 0.292545
1300000, "Built-in", 0.299604
1325000, "Sequential", 0.316954
1325000, "Parallel", 0.376798
1325000, "Built-in", 0.292154
1350000, "Sequential", 0.343751
1350000, "Parallel", 0.355560
1350000, "Built-in", 0.297864
1375000, "Sequential", 0.332070
1375000, "Parallel", 0.318896
1375000, "Built-in", 0.313513
1400000, "Sequential", 0.329933
1400000, "Parallel", 0.352677
1400000, "Built-in", 0.317086
1425000, "Sequential", 0.341185
1425000, "Parallel", 0.385011
1425000, "Built-in", 0.315253
1450000, "Sequential", 0.340390
1450000, "Parallel", 0.348294
1450000, "Built-in", 0.348619
1475000, "Sequential", 0.384293
1475000, "Parallel", 0.405893
1475000, "Built-in", 0.334477
1500000, "Sequential", 0.356408
1500000, "Parallel", 0.380043
1500000, "Built-in", 0.337457
1525000, "Sequential", 0.391048
1525000, "Parallel", 0.400354
1525000, "Built-in", 0.346388
1550000, "Sequential", 0.366944
1550000, "Parallel", 0.456403
1550000, "Built-in", 0.357006
1575000, "Sequential", 0.382534
1575000, "Parallel", 0.422487
1575000, "Built-in", 0.364729
1600000, "Sequential", 0.381690
1600000, "Parallel", 0.341148
1600000, "Built-in", 0.356769
1625000, "Sequential", 0.390432
1625000, "Parallel", 0.359834
1625000, "Built-in", 0.369066
1650000, "Sequential", 0.396338
1650000, "Parallel", 0.490469
1650000, "Built-in", 0.373612
1675000, "Sequential", 0.405865
1675000, "Parallel", 0.477199
1675000, "Built-in", 0.383284
1700000, "Sequential", 0.402346
