Size, Type, Time
10000, "Sequential", 0.001637
10000, "Parallel", 0.011554
10000, "Built-in", 0.002311
20000, "Sequential", 0.004028
20000, "Parallel", 0.008749
20000, "Built-in", 0.003768
30000, "Sequential", 0.005759
30000, "Parallel", 0.005951
30000, "Built-in", 0.006554
40000, "Sequential", 0.008682
40000, "Parallel", 0.007496
40000, "Built-in", 0.008172
50000, "Sequential", 0.013545
50000, "Parallel", 0.017883
50000, "Built-in", 0.010249
60000, "Sequential", 0.017652
60000, "Parallel", 0.012662
60000, "Built-in", 0.010975
70000, "Sequential", 0.021263
70000, "Parallel", 0.026055
70000, "Built-in", 0.015118
80000, "Sequential", 0.022914
80000, "Parallel", 0.025824
80000, "Built-in", 0.015071
90000, "Sequential", 0.023739
90000, "Parallel", 0.017676
90000, "Built-in", 0.019117
100000, "Sequential", 0.037268
100000, "Parallel", 0.017602
100000, "Built-in", 0.018083
110000, "Sequential", 0.023912
110000, "Parallel", 0.026839
110000, "Built-in", 0.020101
120000, "Sequential", 0.027003
120000, "Parallel", 0.024753
120000, "Built-in", 0.022525
130000, "Sequential", 0.026711
130000, "Parallel", 0.030418
130000, "Built-in", 0.023861
140000, "Sequential", 0.028616
140000, "Parallel", 0.029594
140000, "Built-in", 0.026856
150000, "Sequential", 0.032844
150000, "Parallel", 0.028867
150000, "Built-in", 0.027991
160000, "Sequential", 0.038151
160000, "Parallel", 0.028870
160000, "Built-in", 0.032313
170000, "Sequential", 0.045895
170000, "Parallel", 0.029799
170000, "Built-in", 0.032070
180000, "Sequential", 0.048373
180000, "Parallel", 0.042062
180000, "Built-in", 0.037430
190000, "Sequential", 0.050268
190000, "Parallel", 0.035047
190000, "Built-in", 0.039259
200000, "Sequential", 0.059444
200000, "Parallel", 0.035502
200000, "Built-in", 0.039137
10000, "Sequential", 0.001513
10000, "Parallel", 0.002829
10000, "Built-in", 0.001576
20000, "Sequential", 0.003425
20000, "Parallel", 0.007535
20000, "Built-in", 0.004806
30000, "Sequential", 0.005918
30000, "Parallel", 0.008392
30000, "Built-in", 0.005080
40000, "Sequential", 0.007007
40000, "Parallel", 0.017162
40000, "Built-in", 0.007489
50000, "Sequential", 0.009358
50000, "Parallel", 0.013736
50000, "Built-in", 0.009109
60000, "Sequential", 0.013161
60000, "Parallel", 0.012844
