Size, Type, Time
200000, "Sequential", 0.045950
200000, "Parallel", 0.038421
200000, "Built-in", 0.040280
300000, "Sequential", 0.077582
300000, "Parallel", 0.052993
300000, "Built-in", 0.059434
400000, "Sequential", 0.091983
400000, "Parallel", 0.106898
400000, "Built-in", 0.083273
500000, "Sequential", 0.115371
500000, "Parallel", 0.102425
500000, "Built-in", 0.104396
600000, "Sequential", 0.139444
600000, "Parallel", 0.121526
600000, "Built-in", 0.128046
700000, "Sequential", 0.169143
700000, "Parallel", 0.109179
700000, "Built-in", 0.155727
800000, "Sequential", 0.196511
800000, "Parallel", 0.170140
800000, "Built-in", 0.172917
900000, "Sequential", 0.225040
900000, "Parallel", 0.183907
900000, "Built-in", 0.208940
1000000, "Sequential", 0.232942
1000000, "Parallel", 0.202651
1000000, "Built-in", 0.225262
1100000, "Sequential", 0.267843
1100000, "Parallel", 0.173385
1100000, "Built-in", 0.255255
200000, "Sequential", 0.044896
200000, "Parallel", 0.036853
200000, "Built-in", 0.041093
300000, "Sequential", 0.070461
300000, "Parallel", 0.050962
300000, "Built-in", 0.061841
400000, "Sequential", 0.110338
400000, "Parallel", 0.091051
400000, "Built-in", 0.081743
500000, "Sequential", 0.112153
500000, "Parallel", 0.089395
500000, "Built-in", 0.104889
600000, "Sequential", 0.150713
600000, "Parallel", 0.103943
600000, "Built-in", 0.126245
700000, "Sequential", 0.161455
700000, "Parallel", 0.139932
700000, "Built-in", 0.152568
800000, "Sequential", 0.190800
800000, "Parallel", 0.132640
800000, "Built-in", 0.178715
900000, "Sequential", 0.224061
900000, "Parallel", 0.139163
900000, "Built-in", 0.202453
1000000, "Sequential", 0.240446
1000000, "Parallel", 0.179191
1000000, "Built-in", 0.229104
1100000, "Sequential", 0.270052
1100000, "Parallel", 0.210092
1100000, "Built-in", 0.244209
200000, "Sequential", 0.050312
200000, "Parallel", 0.038758
200000, "Built-in", 0.039696
300000, "Sequential", 0.070742
300000, "Parallel", 0.060604
300000, "Built-in", 0.059570
400000, "Sequential", 0.094656
400000, "Parallel", 0.077752
400000, "Built-in", 0.080904
500000, "Sequential", 0.112903
500000, "Parallel", 0.105087
500000, "Built-in", 0.104478
600000, "Sequential", 0.153303
600000, "Parallel", 0.112153
600000, "Built-in", 0.130671
700000, "Sequential", 0.168833
700000, "Parallel", 0.130814
700000, "Built-in", 0.152947
800000, "Sequential", 0.200335
800000, "Parallel", 0.155184
800000, "Built-in", 0.177756
900000, "Sequential", 0.218094
900000, "Parallel", 0.127223
900000, "Built-in", 0.201011
1000000, "Sequential", 0.238678
1000000, "Parallel", 0.193716
1000000, "Built-in", 0.225496
1100000, "Sequential", 0.263588
1100000, "Parallel", 0.164822
1100000, "Built-in", 0.249002
200000, "Sequential", 0.045392
200000, "Parallel", 0.036121
200000, "Built-in", 0.038545
300000, "Sequential", 0.066687
300000, "Parallel", 0.054197
