Size, Type, Time
500000, "Sequential", 0.117342
500000, "Parallel", 0.129777
500000, "Built-in", 0.102278
600000, "Sequential", 0.138137
600000, "Parallel", 0.103775
600000, "Built-in", 0.125190
700000, "Sequential", 0.164634
700000, "Parallel", 0.110288
700000, "Built-in", 0.147820
800000, "Sequential", 0.185555
800000, "Parallel", 0.169684
800000, "Built-in", 0.170279
900000, "Sequential", 0.212893
900000, "Parallel", 0.232966
900000, "Built-in", 0.193075
1000000, "Sequential", 0.234792
1000000, "Parallel", 0.236591
1000000, "Built-in", 0.222844
1100000, "Sequential", 0.257449
1100000, "Parallel", 0.232492
1100000, "Built-in", 0.241279
500000, "Sequential", 0.115608
500000, "Parallel", 0.159212
500000, "Built-in", 0.108274
600000, "Sequential", 0.134448
600000, "Parallel", 0.100135
600000, "Built-in", 0.125378
700000, "Sequential", 0.170819
700000, "Parallel", 0.120605
700000, "Built-in", 0.149268
800000, "Sequential", 0.180177
800000, "Parallel", 0.162753
800000, "Built-in", 0.176473
900000, "Sequential", 0.216951
900000, "Parallel", 0.193778
900000, "Built-in", 0.194432
1000000, "Sequential", 0.235219
1000000, "Parallel", 0.186045
1000000, "Built-in", 0.218506
1100000, "Sequential", 0.263723
1100000, "Parallel", 0.187849
1100000, "Built-in", 0.241192
500000, "Sequential", 0.116875
500000, "Parallel", 0.140251
500000, "Built-in", 0.103450
600000, "Sequential", 0.137739
600000, "Parallel", 0.128339
600000, "Built-in", 0.128270
700000, "Sequential", 0.165248
700000, "Parallel", 0.147342
700000, "Built-in", 0.149091
800000, "Sequential", 0.192426
800000, "Parallel", 0.164650
800000, "Built-in", 0.171170
900000, "Sequential", 0.213280
900000, "Parallel", 0.189266
900000, "Built-in", 0.196075
1000000, "Sequential", 0.239906
1000000, "Parallel", 0.239628
1000000, "Built-in", 0.227007
1100000, "Sequential", 0.263075
1100000, "Parallel", 0.195609
1100000, "Built-in", 0.249039
500000, "Sequential", 0.121094
500000, "Parallel", 0.131956
500000, "Built-in", 0.101628
600000, "Sequential", 0.139686
600000, "Parallel", 0.118034
600000, "Built-in", 0.125084
700000, "Sequential", 0.162864
700000, "Parallel", 0.149552
700000, "Built-in", 0.147905
800000, "Sequential", 0.187848
800000, "Parallel", 0.193700
800000, "Built-in", 0.176161
900000, "Sequential", 0.212096
900000, "Parallel", 0.132312
900000, "Built-in", 0.198777
1000000, "Sequential", 0.230214
1000000, "Parallel", 0.281509
1000000, "Built-in", 0.218704
1100000, "Sequential", 0.253467
1100000, "Parallel", 0.201936
1100000, "Built-in", 0.241586
500000, "Sequential", 0.114541
500000, "Parallel", 0.120682
500000, "Built-in", 0.102233
600000, "Sequential", 0.137871
600000, "Parallel", 0.140632
600000, "Built-in", 0.124205
700000, "Sequential", 0.167005
700000, "Parallel", 0.225668
700000, "Built-in", 0.147493
800000, "Sequential", 0.192427
800000, "Parallel", 0.129568
800000, "Built-in", 0.170249
900000, "Sequential", 0.217956
900000, "Parallel", 0.160860
900000, "Built-in", 0.194092
1000000, "Sequential", 0.234668
1000000, "Parallel", 0.201105
1000000, "Built-in", 0.221370
1100000, "Sequential", 0.280452
1100000, "Parallel", 0.227171
1100000, "Built-in", 0.246138
500000, "Sequential", 0.115921
500000, "Parallel", 0.109724
500000, "Built-in", 0.102624
600000, "Sequential", 0.140864
600000, "Parallel", 0.132759
600000, "Built-in", 0.126068
700000, "Sequential", 0.167446
700000, "Parallel", 0.149317
700000, "Built-in", 0.158668
800000, "Sequential", 0.187428
800000, "Parallel", 0.132120
800000, "Built-in", 0.174485
900000, "Sequential", 0.212788
900000, "Parallel", 0.150290
900000, "Built-in", 0.201476
1000000, "Sequential", 0.236978
1000000, "Parallel", 0.274939
1000000, "Built-in", 0.228439
1100000, "Sequential", 0.271990
1100000, "Parallel", 0.222482
1100000, "Built-in", 0.241356
500000, "Sequential", 0.117392
500000, "Parallel", 0.103222
500000, "Built-in", 0.108967
600000, "Sequential", 0.139688
600000, "Parallel", 0.144112
600000, "Built-in", 0.124782
700000, "Sequential", 0.167911
700000, "Parallel", 0.195943
700000, "Built-in", 0.148748
800000, "Sequential", 0.190615
800000, "Parallel", 0.130741
800000, "Built-in", 0.170166
900000, "Sequential", 0.216927
900000, "Parallel", 0.195211
900000, "Built-in", 0.199127
1000000, "Sequential", 0.249423
1000000, "Parallel", 0.322451
1000000, "Built-in", 0.216926
1100000, "Sequential", 0.267604
1100000, "Parallel", 0.232252
1100000, "Built-in", 0.248829
500000, "Sequential", 0.119374
500000, "Parallel", 0.130680
500000, "Built-in", 0.103106
600000, "Sequential", 0.145302
600000, "Parallel", 0.133829
600000, "Built-in", 0.125228
700000, "Sequential", 0.169627
700000, "Parallel", 0.189979
700000, "Built-in", 0.149130
800000, "Sequential", 0.189126
800000, "Parallel", 0.139618
800000, "Built-in", 0.170170
900000, "Sequential", 0.211422
900000, "Parallel", 0.196061
900000, "Built-in", 0.202864
1000000, "Sequential", 0.238091
1000000, "Parallel", 0.250062
1000000, "Built-in", 0.219220
1100000, "Sequential", 0.274965
1100000, "Parallel", 0.317947
1100000, "Built-in", 0.246524
500000, "Sequential", 0.116486
500000, "Parallel", 0.079991
